year,locality,cases_accepted,fips,pop_source,under18,cps_rate
2021,Albemarle,357,51003,acs,22417,15.925413748494446
2022,Albemarle,433,51003,acs,22003,19.67913466345498
2023,Albemarle,468,51003,acs,22432,20.86305278174037
2024,Albemarle,455,51003,acs,22438,20.278099652375435
2021,Charlottesville,188,51540,acs,7314,25.7041290675417
2022,Charlottesville,177,51540,acs,7200,24.583333333333332
2023,Charlottesville,176,51540,acs,7419,23.722873702655345
2024,Charlottesville,192,51540,acs,7480,25.668449197860962
2021,Virginia,34194,51,acs,1892752,18.065758218720678
2022,Virginia,37113,51,acs,1876826,19.77434242705504
2023,Virginia,37185,51,acs,1893985,19.633207232369845
2024,Virginia,36845,51,acs,1890833,19.486120667451857
2020,Albemarle,413,51003,cdc,21879,18.876548288312996
2020,Albemarle,413,51003,acs,21863,18.890362713259844
2020,Charlottesville,251,51540,cdc,7316,34.308365226899944
2020,Charlottesville,251,51540,acs,7321,34.284933752219644
2019,Albemarle,391,51003,cdc,21830,17.9111314704535
2019,Albemarle,391,51003,acs,21723,17.999355521797174
2019,Charlottesville,295,51540,cdc,7345,40.16337644656229
2019,Charlottesville,295,51540,acs,7368,40.038002171552655
2018,Albemarle,397,51003,cdc,21772,18.234429542531693
2018,Albemarle,397,51003,acs,21734,18.266310849360448
2018,Charlottesville,338,51540,cdc,7345,46.017699115044245
2018,Charlottesville,338,51540,acs,7385,45.76844955991875
2017,Albemarle,400,51003,cdc,21954,18.219914366402477
2017,Albemarle,400,51003,acs,21738,18.400956849756188
2017,Charlottesville,349,51540,cdc,7303,47.78858003560181
2017,Charlottesville,349,51540,acs,7263,48.05176924136032
2016,Albemarle,326,51003,cdc,21970,14.838416021847975
2016,Albemarle,326,51003,acs,21721,15.008517103264122
2016,Charlottesville,315,51540,cdc,7212,43.677204658901836
2016,Charlottesville,315,51540,acs,7084,44.466403162055336
2015,Albemarle,315,51003,cdc,21932,14.362575232536933
2015,Albemarle,315,51003,acs,21700,14.516129032258066
2015,Charlottesville,261,51540,cdc,7096,36.78128523111612
2015,Charlottesville,261,51540,acs,6907,37.78775155639207
2014,Albemarle,418,51003,cdc,21879,19.105077928607344
2014,Albemarle,418,51003,acs,21633,19.322331622983405
2014,Charlottesville,233,51540,cdc,6952,33.515535097813576
2014,Charlottesville,233,51540,acs,6784,34.34551886792453
2013,Albemarle,407,51003,cdc,21725,18.734177215189874
2013,Albemarle,407,51003,acs,21569,18.869674069266075
2013,Charlottesville,287,51540,cdc,6864,41.81235431235431
2013,Charlottesville,287,51540,acs,6531,43.944265809217576
2012,Albemarle,374,51003,cdc,21576,17.334074898034853
2012,Albemarle,374,51003,acs,21447,17.43833636406024
2012,Charlottesville,330,51540,cdc,6700,49.25373134328358
2012,Charlottesville,330,51540,acs,6498,50.78485687903971
2011,Albemarle,253,51003,cdc,21465,11.78662939669229
2011,Albemarle,253,51003,acs,21354,11.847897349442729
2011,Charlottesville,286,51540,cdc,6499,44.0067702723496
2011,Charlottesville,286,51540,acs,6368,44.91206030150754
2010,Albemarle,303,51003,cdc,21302,14.224016524270022
2010,Albemarle,303,51003,acs,21289,14.232702334538963
2010,Charlottesville,250,51540,cdc,6475,38.61003861003861
2010,Charlottesville,250,51540,acs,6402,39.05029678225554
2009,Albemarle,440,51003,cdc,21321,20.636930725575723
2009,Albemarle,440,51003,acs,20237,21.742353115580375
2009,Charlottesville,318,51540,cdc,6418,49.54814583982549
2009,Charlottesville,318,51540,acs,6719,47.328471498734935
2009,Virginia,70736,51,cdc,1845132,38.336552615205846
2009,Virginia,70736,51,acs,1831470,38.622527259523764
2010,Virginia,71706,51,cdc,1854974,38.656067416578345
2010,Virginia,71706,51,acs,1840077,38.9690214050825
2011,Virginia,72516,51,cdc,1857553,39.03845543034304
2011,Virginia,72516,51,acs,1843927,39.32693647850484
2012,Virginia,76476,51,cdc,1862624,41.058206057690654
2012,Virginia,76476,51,acs,1848713,41.36715650292933
2013,Virginia,74494,51,cdc,1864735,39.94883991559122
2013,Virginia,74494,51,acs,1856014,40.13655069412192
2014,Virginia,71810,51,cdc,1865929,38.48485124567977
2014,Virginia,71810,51,acs,1862284,38.56017664330467
2015,Virginia,72208,51,cdc,1868554,38.64378551543065
2015,Virginia,72208,51,acs,1864668,38.72431982529866
2016,Virginia,73500,51,cdc,1871874,39.26546338054805
2016,Virginia,73500,51,acs,1865556,39.39844207303345
2017,Virginia,78210,51,cdc,1872961,41.75740979123431
2017,Virginia,78210,51,acs,1866274,41.907029728753656
2018,Virginia,78808,51,cdc,1870042,42.14236899492097
2018,Virginia,78808,51,acs,1867427,42.20138190140766
2019,Virginia,79940,51,cdc,1868689,42.77865391191365
2019,Virginia,79940,51,acs,1865699,42.847211688487796
2020,Virginia,35704,51,cdc,1866420,19.129670706486216
2020,Virginia,35704,51,acs,1868597,19.107383775099713
