year,locality,fips,fc_count,pop_source,under18,fc_rate
2025,Albemarle,51003,96,acs,NA,NA
2025,Charlottesville,51540,108,acs,NA,NA
2025,Virginia,51,5715,acs,NA,NA
2024,Albemarle,51003,88,acs,22438,3.9219181745253584
2024,Charlottesville,51540,78,acs,7480,10.427807486631016
2024,Virginia,51,5362,acs,1890833,2.8357871900902936
2023,Albemarle,51003,96,acs,22432,4.279600570613409
2023,Charlottesville,51540,49,acs,7419,6.604663701307454
2023,Virginia,51,5013,acs,1893985,2.6468002650496176
2022,Albemarle,51003,101,cdc,21879,4.616298733945793
2022,Albemarle,51003,101,acs,22003,4.590283143207745
2022,Charlottesville,51540,57,cdc,7316,7.79114270092947
2022,Charlottesville,51540,57,acs,7200,7.916666666666667
2022,Virginia,51,5076,cdc,1866420,2.719645095959109
2022,Virginia,51,5076,acs,1876826,2.704566113214544
2021,Albemarle,51003,108,cdc,21879,4.936240230357877
2021,Albemarle,51003,108,acs,22417,4.817772226435294
2021,Charlottesville,51540,76,cdc,7316,10.38819026790596
2021,Charlottesville,51540,76,acs,7314,10.391030899644518
2021,Virginia,51,5288,cdc,1866420,2.8332315341670147
2021,Virginia,51,5288,acs,1892752,2.7938155659061517
2020,Albemarle,51003,100,cdc,21879,4.570592805886923
2020,Albemarle,51003,100,acs,21863,4.573937702968486
2020,Charlottesville,51540,87,cdc,7316,11.891744122471296
2020,Charlottesville,51540,87,acs,7321,11.883622455948641
2020,Virginia,51,5378,cdc,1866420,2.8814521918967864
2020,Virginia,51,5378,acs,1868597,2.8780951697985175
2019,Albemarle,51003,106,cdc,21830,4.855703160787907
2019,Albemarle,51003,106,acs,21723,4.879620678543479
2019,Charlottesville,51540,107,cdc,7345,14.56773315180395
2019,Charlottesville,51540,107,acs,7368,14.522258414766558
2019,Virginia,51,5517,cdc,1868689,2.952337173280305
2019,Virginia,51,5517,acs,1865699,2.957068637545499
2018,Albemarle,51003,100,cdc,21772,4.593055300385816
2018,Albemarle,51003,100,acs,21734,4.6010858562620784
2018,Charlottesville,51540,144,cdc,7345,19.60517358747447
2018,Charlottesville,51540,144,acs,7385,19.49898442789438
2018,Virginia,51,5329,cdc,1870042,2.8496686170684935
2018,Virginia,51,5329,acs,1867427,2.8536590720815322
2017,Albemarle,51003,84,cdc,21954,3.8261820169445206
2017,Albemarle,51003,84,acs,21738,3.8642009384487994
2017,Charlottesville,51540,138,cdc,7303,18.896343968232234
2017,Charlottesville,51540,138,acs,7263,19.00041305245766
2017,Virginia,51,5210,cdc,1872961,2.7816916636278064
2017,Virginia,51,5210,acs,1866274,2.7916586739139055
2016,Albemarle,51003,83,cdc,21970,3.77787892580792
2016,Albemarle,51003,83,acs,21721,3.8211868698494547
2016,Charlottesville,51540,117,cdc,7212,16.22296173044925
2016,Charlottesville,51540,117,acs,7084,16.516092603049124
2016,Virginia,51,5242,cdc,1838361,2.8514530062376213
2016,Virginia,51,5242,acs,1865556,2.8098861679842364
2015,Albemarle,51003,105,cdc,21932,4.787525077512311
2015,Albemarle,51003,105,acs,21700,4.838709677419355
2015,Charlottesville,51540,110,cdc,7096,15.501691093573845
2015,Charlottesville,51540,110,acs,6907,15.925872303460258
2015,Virginia,51,5140,cdc,1838361,2.7959688004695487
2015,Virginia,51,5140,acs,1864668,2.756522876994725
2014,Albemarle,51003,115,cdc,21879,5.256181726769962
2014,Albemarle,51003,115,acs,21633,5.315952480007397
2014,Charlottesville,51540,108,cdc,6952,15.535097813578828
2014,Charlottesville,51540,108,acs,6784,15.919811320754716
2014,Virginia,51,5119,cdc,1838361,2.784545581634945
2014,Virginia,51,5119,acs,1862284,2.7487751599648607
2013,Albemarle,51003,115,cdc,21725,5.293440736478711
2013,Albemarle,51003,115,acs,21569,5.331726088367565
2013,Charlottesville,51540,122,cdc,6864,17.773892773892772
2013,Charlottesville,51540,122,acs,6531,18.68014086663604
2013,Virginia,51,4970,cdc,1838361,2.7034951241894274
2013,Virginia,51,4970,acs,1856014,2.6777815253548733
2012,Albemarle,51003,93,cdc,21576,4.310344827586206
2012,Albemarle,51003,93,acs,21447,4.336270807105889
2012,Charlottesville,51540,129,cdc,6700,19.253731343283583
2012,Charlottesville,51540,129,acs,6498,19.852262234533704
2012,Virginia,51,5286,cdc,1838361,2.8753873695101237
2012,Virginia,51,5286,acs,1848713,2.8592864333187467
2011,Albemarle,51003,63,cdc,21465,2.9350104821802936
2011,Albemarle,51003,63,acs,21354,2.950266928912616
2011,Charlottesville,51540,131,cdc,6499,20.156947222649638
2011,Charlottesville,51540,131,acs,6368,20.571608040201003
2011,Virginia,51,5573,cdc,1838361,3.0315046935830336
2011,Virginia,51,5573,acs,1843927,3.022353921820115
2010,Albemarle,51003,74,cdc,21302,3.473852220448784
2010,Albemarle,51003,74,acs,21289,3.4759735074451594
2010,Charlottesville,51540,168,cdc,6475,25.945945945945944
2010,Charlottesville,51540,168,acs,6402,26.241799437675724
2010,Virginia,51,6161,cdc,1838361,3.351354820951924
2010,Virginia,51,6161,acs,1840077,3.3482294490937066
2009,Albemarle,51003,82,cdc,21321,3.8459734534027485
2009,Albemarle,51003,82,acs,20237,4.051983989721797
2009,Charlottesville,51540,179,cdc,6418,27.890308507323155
2009,Charlottesville,51540,179,acs,6719,26.640869176960855
2009,Virginia,51,6700,cdc,1838361,3.6445507710400733
2009,Virginia,51,6700,acs,1831470,3.658263580621031
2008,Albemarle,51003,98,cdc,21306,4.599643292969117
2008,Albemarle,51003,98,acs,NA,NA
2008,Charlottesville,51540,164,cdc,6298,26.04001270244522
2008,Charlottesville,51540,164,acs,NA,NA
2008,Virginia,51,7563,cdc,1838361,4.113990668862101
2008,Virginia,51,7563,acs,NA,NA
2007,Albemarle,51003,112,cdc,21044,5.32218209465881
2007,Albemarle,51003,112,acs,NA,NA
2007,Charlottesville,51540,151,cdc,6304,23.953045685279186
2007,Charlottesville,51540,151,acs,NA,NA
2007,Virginia,51,8085,cdc,1834386,4.407469311257282
2007,Virginia,51,8085,acs,NA,NA
2006,Albemarle,51003,110,cdc,20845,5.277044854881266
2006,Albemarle,51003,110,acs,NA,NA
2006,Charlottesville,51540,166,cdc,6315,26.286619160728424
2006,Charlottesville,51540,166,acs,NA,NA
2006,Virginia,51,8136,cdc,1826368,4.454742965273154
2006,Virginia,51,8136,acs,NA,NA
