fips,locality,year,count_services,count_truancy,count_total,age517_tot,rate_services,rate_truancy,rate_total
51003,Albemarle,2010,0,0,0,15761,0,0,0
51540,Charlottesville,2010,1,0,1,4159,0.24044241404183697,0,0.24044241404183697
51,Virginia,2010,3,0,3,1344530,0.0022312629692160086,0,0.0022312629692160086
51003,Albemarle,2011,0,0,0,15759,0,0,0
51540,Charlottesville,2011,11,0,11,4199,2.619671350321505,0,2.619671350321505
51,Virginia,2011,26,0,26,1345643,0.019321617992290673,0,0.019321617992290673
51003,Albemarle,2012,2,1,3,15867,0.12604777210562804,0.06302388605281402,0.18907165815844204
51540,Charlottesville,2012,9,0,9,4274,2.1057557323350493,0,2.1057557323350493
51,Virginia,2012,151,469,620,1350337,0.11182393728380398,0.3473207058682388,0.4591446431520428
51003,Albemarle,2013,19,28,47,16032,1.1851297405189622,1.746506986027944,2.931636726546906
51540,Charlottesville,2013,16,12,28,4393,3.642157978602322,2.7316184839517414,6.373776462554063
51,Virginia,2013,470,975,1445,1353660,0.34720683184847007,0.7202694916005496,1.0674763234490197
51003,Albemarle,2014,37,38,75,16149,2.291163539538052,2.353086878444486,4.644250417982537
51540,Charlottesville,2014,21,14,35,4485,4.682274247491638,3.121516164994426,7.803790412486065
51,Virginia,2014,931,2015,2946,1353509,0.6878417505905022,1.4887230155100557,2.1765647661005576
51003,Albemarle,2015,34,26,60,16106,2.111014528747051,1.6143052278653918,3.7253197566124427
51540,Charlottesville,2015,35,22,57,4645,7.534983853606028,4.736275565123789,12.271259418729818
51,Virginia,2015,1274,2462,3736,1354963,0.9402470768574492,1.8170237858893565,2.7572708627468057
51003,Albemarle,2016,25,23,48,16063,1.5563717860922617,1.4318620432048808,2.9882338292971427
51540,Charlottesville,2016,54,19,73,4768,11.325503355704697,3.984899328859061,15.310402684563758
51,Virginia,2016,1377,2612,3989,1357074,1.0146830607616093,1.9247292336305906,2.9394122943921994
51003,Albemarle,2017,19,21,40,15939,1.1920446703055398,1.3175230566534915,2.5095677269590313
51540,Charlottesville,2017,44,17,61,4874,9.027492819039804,3.4878949528108327,12.515387771850637
51,Virginia,2017,1347,2532,3879,1358974,0.991188941068777,1.863170303478948,2.854359244547725
51003,Albemarle,2018,17,18,35,15802,1.0758131882040247,1.1390963169219086,2.2149095051259335
51540,Charlottesville,2018,15,16,31,4946,3.03275374039628,3.234937323089365,6.267691063485645
51,Virginia,2018,1134,1958,3092,1356683,0.8358621726667173,1.4432258677966776,2.279088040463395
51003,Albemarle,2019,21,23,44,15832,1.3264274886306215,1.452753916119252,2.7791814047498735
51540,Charlottesville,2019,7,10,17,4984,1.4044943820224718,2.0064205457463884,3.4109149277688604
51,Virginia,2019,1250,2007,3257,1355371,0.922256710524277,1.4807753744177792,2.403032084942056
51003,Albemarle,2020,14,8,22,16803,0.8331845503779086,0.47610545735880494,1.3092900077367138
51540,Charlottesville,2020,13,3,16,4913,2.646041115408101,0.6106248727864848,3.2566659881945856
51,Virginia,2020,938,1306,2244,1403420,0.668367274230095,0.9305838594291088,1.598951133659204
51003,Albemarle,2021,4,4,8,16806,0.23801023444008093,0.23801023444008093,0.47602046888016186
51540,Charlottesville,2021,10,1,11,4864,2.0559210526315788,0.20559210526315788,2.2615131578947367
51,Virginia,2021,836,1401,2237,1400764,0.5968171654896899,1.0001684794869086,1.5969856449765987
51003,Albemarle,2022,15,11,26,16832,0.8911596958174905,0.6535171102661597,1.5446768060836502
51540,Charlottesville,2022,9,6,15,4981,1.806866091146356,1.2045773940975708,3.011443485243927
51,Virginia,2022,1092,1775,2867,1398933,0.7805949248462936,1.2688241681338561,2.0494190929801497
51003,Albemarle,2023,24,12,36,16671,1.4396256973186972,0.7198128486593486,2.1594385459780456
51540,Charlottesville,2023,9,2,11,5169,1.7411491584445735,0.3869220352099052,2.128071193654479
51,Virginia,2023,1203,2275,3478,1399531,0.8595736714656553,1.625544557426738,2.485118228892393
51003,Albemarle,2024,25,23,48,16831,1.485354405561167,1.3665260531162735,2.8518804586774404
51540,Charlottesville,2024,4,5,9,5198,0.7695267410542517,0.9619084263178145,1.7314351673720663
51,Virginia,2024,1267,2527,3794,1400549,0.9046452498270321,1.8042924595997714,2.7089377094268032
51003,Albemarle,2025,10,7,17,NA,NA,NA,NA
51540,Charlottesville,2025,3,9,12,NA,NA,NA,NA
51,Virginia,2025,1241,2506,3747,NA,NA,NA,NA
