GEOID,NAME,year,medinc_w_children,cpi14,adj_medinc_w_children
51,Virginia,2014,76610,100,76610
51,Virginia,2015,77142,100.11869762097865,77050.54283869933
51,Virginia,2016,78877,101.38170789402541,77802.00357489573
51,Virginia,2017,82307,103.54149770208166,79491.79973890338
51,Virginia,2018,85880,106.0704751284131,80965.03753380034
51,Virginia,2019,89973,107.99244728304949,83314.1597061688
51003,Albemarle County,2014,91013,100,91013
51003,Albemarle County,2015,95030,100.11869762097865,94917.33538100641
51003,Albemarle County,2016,93324,101.38170789402541,92052.10874682822
51003,Albemarle County,2017,99171,103.54149770208166,95778.98929503915
51003,Albemarle County,2018,103664,106.0704751284131,97731.24884610942
51003,Albemarle County,2019,108154,107.99244728304949,100149.59631068188
51540,Charlottesville City,2014,62097,100,62097
51540,Charlottesville City,2015,62157,100.11869762097865,62083.30858967921
51540,Charlottesville City,2016,64570,101.38170789402541,63689.990375280715
51540,Charlottesville City,2017,68203,103.54149770208166,65870.20809399476
51540,Charlottesville City,2018,71696,106.0704751284131,67592.79612276838
51540,Charlottesville City,2019,76694,107.99244728304949,71017.92942888322
51540,Charlottesville City,2020,80328,109.32473303595567,73476.51146203214
51003,Albemarle County,2020,116948,109.32473303595567,106973.04878077052
51003,Albemarle County,2021,121578,114.46083400919169,106217.99242720594
51540,Charlottesville City,2021,88295,114.46083400919169,77139.92368158836
51003,Albemarle County,2022,135016,123.62082657474993,109217.8427704977
51540,Charlottesville City,2022,97273,123.62082657474993,78686.57951512875
51003,Albemarle County,2023,132609,128.7096174641795,103029.59686513382
51540,Charlottesville City,2023,106773,128.7096174641795,82956.50480797632
51003,Albemarle County,2024,139415,132.5058292781833,105214.23907118195
51540,Charlottesville City,2024,113004,132.5058292781833,85282.28577986476
51,Virginia,2020,93828,109.32473303595567,85825.04378871067
51,Virginia,2021,99499,114.46083400919169,86928.42478503154
51,Virginia,2022,108964,123.62082657474993,88143.72385231758
51,Virginia,2023,113159,128.7096174641795,87918.06100386608
51,Virginia,2024,116598,132.5058292781833,87994.61928215525
