school_year,level,division_number,division_name,beso_count,pd_count,total_students,beso_rate,pd_rate,source
2021-2022,Division,2,Albemarle County,175,0,13749,12.72819841443014,0,SBAR
2021-2022,Division,104,Charlottesville City,27,0,4290,6.293706293706294,0,SBAR
2021-2022,State,NA,Virginia,26293,375,1251970,21.001301948129747,0.29952794396031857,SBAR
2022-2023,Division,2,Albemarle County,356,1,13970,25.483178239083752,0.07158196134574088,SBAR
2022-2023,Division,104,Charlottesville City,120,1,4491,26.720106880427522,0.22266755733689603,SBAR
2022-2023,State,NA,Virginia,38153,485,1263367,30.199459064547355,0.38389478275117206,SBAR
2023-2024,Division,2,Albemarle County,243,1,13835,17.564148897723165,0.07228044813877847,SBAR
2023-2024,Division,104,Charlottesville City,120,1,4444,27.002700270027002,0.22502250225022502,SBAR
2023-2024,State,NA,Virginia,39665,369,1262011,31.429995459627534,0.2923904783714247,SBAR
