arrest_offense,jurisdiction_by_geography,year,number_of_arrestees_10to17,age1017_tot,rate_arrests
Crimes Against Person,Virginia,2009,5386,NA,NA
Crimes Against Person,Virginia,2010,5880,832206,7.065558287250993
Crimes Against Person,Virginia,2011,5404,831247,6.501076094109211
Crimes Against Person,Virginia,2012,4768,831025,5.737492855208929
Crimes Against Person,Virginia,2013,4177,831118,5.025760481664457
Crimes Against Person,Virginia,2014,4003,834284,4.79812629751979
Crimes Against Person,Virginia,2015,3656,836397,4.371129977749801
Crimes Against Person,Virginia,2016,3261,839664,3.883696335677128
Crimes Against Person,Virginia,2017,3395,843572,4.024552735273338
Crimes Against Person,Virginia,2018,3392,843616,4.020786708644692
Crimes Against Person,Virginia,2019,3490,840485,4.152364408645009
Crimes Against Person,Virginia,2020,2078,880837,2.3591197917435345
Crimes Against Person,Virginia,2021,1764,877863,2.0094251608736213
Crimes Against Person,Virginia,2022,2450,875430,2.7986246758735707
Crimes Against Person,Virginia,2023,3462,874708,3.957892233751149
Crimes Against Person,Virginia,2024,3471,875023,3.966752873924457
Crimes Against Person,Albemarle County,2009,24,NA,NA
Crimes Against Person,Albemarle County,2010,29,9837,2.9480532682728473
Crimes Against Person,Albemarle County,2011,35,9886,3.5403601051992717
Crimes Against Person,Albemarle County,2012,34,9964,3.4122842232035326
Crimes Against Person,Albemarle County,2013,44,9993,4.403082157510258
Crimes Against Person,Albemarle County,2014,48,10054,4.774219216232345
Crimes Against Person,Albemarle County,2015,49,10083,4.8596647823068535
Crimes Against Person,Albemarle County,2016,21,9977,2.104841134609602
Crimes Against Person,Albemarle County,2017,33,9877,3.341095474334312
Crimes Against Person,Albemarle County,2018,5,9865,0.5068423720223011
Crimes Against Person,Albemarle County,2019,16,9823,1.6288302962435102
Crimes Against Person,Albemarle County,2020,16,10512,1.5220700152207
Crimes Against Person,Albemarle County,2021,1,10482,0.09540164090822362
Crimes Against Person,Albemarle County,2022,5,10425,0.47961630695443647
Crimes Against Person,Albemarle County,2023,6,10248,0.585480093676815
Crimes Against Person,Albemarle County,2024,8,10355,0.7725736359246741
Crimes Against Person,Charlottesville City,2009,3,NA,NA
Crimes Against Person,Charlottesville City,2010,7,2495,2.80561122244489
Crimes Against Person,Charlottesville City,2011,14,2519,5.5577610162763005
Crimes Against Person,Charlottesville City,2012,3,2554,1.1746280344557558
Crimes Against Person,Charlottesville City,2013,6,2577,2.328288707799767
Crimes Against Person,Charlottesville City,2014,9,2581,3.487020534676482
Crimes Against Person,Charlottesville City,2015,7,2616,2.675840978593272
Crimes Against Person,Charlottesville City,2016,7,2683,2.6090197540067086
Crimes Against Person,Charlottesville City,2017,11,2713,4.054552156284556
Crimes Against Person,Charlottesville City,2018,2,2791,0.7165890361877463
Crimes Against Person,Charlottesville City,2019,6,2816,2.130681818181818
Crimes Against Person,Charlottesville City,2020,3,2841,1.0559662090813093
Crimes Against Person,Charlottesville City,2021,3,2859,1.0493179433368311
Crimes Against Person,Charlottesville City,2022,8,2956,2.7063599458728014
Crimes Against Person,Charlottesville City,2023,5,3101,1.6123831022250887
Crimes Against Person,Charlottesville City,2024,NA,3117,NA
