jurisdiction_by_geography,year,number_of_arrestees_10to17,age1017_tot,rate_firearms
Albemarle County,2009,4,NA,NA
Albemarle County,2010,3,9837,0.3049710277523635
Albemarle County,2011,5,9886,0.5057657293141816
Albemarle County,2012,3,9964,0.30108390204737057
Albemarle County,2013,7,9993,0.7004903432402682
Albemarle County,2014,3,10054,0.2983887010145216
Albemarle County,2015,4,10083,0.39670732916790635
Albemarle County,2016,5,9977,0.5011526510975244
Albemarle County,2017,6,9877,0.6074719044244203
Albemarle County,2018,5,9865,0.5068423720223011
Albemarle County,2019,4,9823,0.40720757406087754
Albemarle County,2020,2,10512,0.1902587519025875
Albemarle County,2021,3,10482,0.28620492272467085
Albemarle County,2022,9,10425,0.8633093525179857
Albemarle County,2023,9,10248,0.8782201405152225
Albemarle County,2024,6,10355,0.5794302269435055
Charlottesville City,2009,12,NA,NA
Charlottesville City,2010,18,2495,7.214428857715431
Charlottesville City,2011,7,2519,2.7788805081381502
Charlottesville City,2012,2,2554,0.7830853563038371
Charlottesville City,2013,6,2577,2.328288707799767
Charlottesville City,2014,3,2581,1.162340178225494
Charlottesville City,2015,5,2616,1.9113149847094801
Charlottesville City,2016,9,2683,3.354453969437197
Charlottesville City,2017,12,2713,4.423147806855879
Charlottesville City,2018,6,2791,2.149767108563239
Charlottesville City,2019,5,2816,1.7755681818181817
Charlottesville City,2020,3,2841,1.0559662090813093
Charlottesville City,2021,4,2859,1.3990905911157747
Charlottesville City,2022,11,2956,3.7212449255751014
Charlottesville City,2023,7,3101,2.257336343115124
Charlottesville City,2024,12,3117,3.8498556304138596
Virginia,2009,1084,NA,NA
Virginia,2010,979,832206,1.1763914223161094
Virginia,2011,835,831247,1.0045149035124337
Virginia,2012,756,831025,0.9097199241900064
Virginia,2013,817,831118,0.9830132424036057
Virginia,2014,785,834284,0.9409265909450498
Virginia,2015,908,836397,1.085608867559305
Virginia,2016,1011,839664,1.204053049791345
Virginia,2017,1068,843572,1.2660448663540278
Virginia,2018,1002,843616,1.18774418692865
Virginia,2019,1055,840485,1.2552276364242074
Virginia,2020,975,880837,1.1069017309672504
Virginia,2021,1017,877863,1.1584951182587715
Virginia,2022,1291,875430,1.474703859817461
Virginia,2023,1392,874708,1.5913882118375504
Virginia,2024,1292,875023,1.4765326168569284
